Drug Usage Group, Things to do in free time,Education Level,Year,Percentage
All students,Go to cyber cafes / electronic games centres,Upper Primary,2020/21,4.5
All students,Others,Upper Primary,2020/21,4.3
Drug-taking students,Chat with friends,Upper Primary,2020/21,43.4
Drug-taking students,Play electronic games at home ,Upper Primary,2020/21,58.6
Drug-taking students,Watch movies,Upper Primary,2020/21,28.8
Drug-taking students,Hang around at home / sleep ,Upper Primary,2020/21,21.4
Drug-taking students,Surf the Internet,Upper Primary,2020/21,28.2
Drug-taking students,Watch TV / listen to the radio or music,Upper Primary,2020/21,41.4
Drug-taking students,Do sports / outdoor activities (e.g. outing / hiking),Upper Primary,2020/21,20.5
Drug-taking students,Shopping / wander on streets,Upper Primary,2020/21,23.3
Drug-taking students,Chat / play with family,Upper Primary,2020/21,32.4
Drug-taking students,Read books,Upper Primary,2020/21,14.6
Drug-taking students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Upper Primary,2020/21,5.5
Drug-taking students,Play musical instruments / drawing / dancing / participate in other cultural activities,Upper Primary,2020/21,24.1
Drug-taking students,Play in friends’ and relatives’ home,Upper Primary,2020/21,19.1
Drug-taking students,Read comics,Upper Primary,2020/21,19
Drug-taking students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Upper Primary,2020/21,9.3
Drug-taking students,Go to cyber cafes / electronic games centres,Upper Primary,2020/21,16.4
Drug-taking students,Participate in voluntary work,Upper Primary,2020/21,4.5
Drug-taking students,Participate in church / religious activities,Upper Primary,2020/21,2.7
Drug-taking students,Others,Upper Primary,2020/21,9.2
Non-drug-taking students,Chat with friends,Upper Primary,2020/21,61
Non-drug-taking students,Play electronic games at home ,Upper Primary,2020/21,70.9
Non-drug-taking students,Surf the Internet,Upper Primary,2020/21,47.3
Non-drug-taking students,Watch TV / listen to the radio or music,Upper Primary,2020/21,63.2
Non-drug-taking students,Hang around at home / sleep ,Upper Primary,2020/21,31.5
Non-drug-taking students,Chat / play with family,Upper Primary,2020/21,50.2
Non-drug-taking students,Watch movies,Upper Primary,2020/21,29
Non-drug-taking students,Shopping / wander on streets,Upper Primary,2020/21,24.7
Non-drug-taking students,Do sports / outdoor activities (e.g. outing / hiking),Upper Primary,2020/21,32.1
Non-drug-taking students,Read books,Upper Primary,2020/21,41.7
Non-drug-taking students,Play musical instruments / drawing / dancing / participate in other cultural activities,Upper Primary,2020/21,34.7
Non-drug-taking students,Read comics,Upper Primary,2020/21,32.1
Non-drug-taking students,Play in friends’ and relatives’ home,Upper Primary,2020/21,22.8
Non-drug-taking students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Upper Primary,2020/21,14.3
Non-drug-taking students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Upper Primary,2020/21,2
Non-drug-taking students,Participate in voluntary work,Upper Primary,2020/21,4.5
Non-drug-taking students,Participate in church / religious activities,Upper Primary,2020/21,6.3
Non-drug-taking students,Go to cyber cafes / electronic games centres,Upper Primary,2020/21,4.3
Non-drug-taking students,Others,Upper Primary,2020/21,4.3
All students,Chat with friends,Upper Primary,2023/24,63.9
All students,Play electronic games at home ,Upper Primary,2023/24,68.4
All students,Surf the Internet,Upper Primary,2023/24,45.4
All students,Watch TV / listen to the radio or music,Upper Primary,2023/24,59.4
All students,Hang around at home / sleep ,Upper Primary,2023/24,34.1
All students,Chat / play with family,Upper Primary,2023/24,51
All students,Watch movies,Upper Primary,2023/24,28.6
All students,Shopping / wander on streets,Upper Primary,2023/24,31.8
All students,Do sports / outdoor activities (e.g. outing / hiking),Upper Primary,2023/24,37.1
All students,Read books,Upper Primary,2023/24,36.9
All students,Play musical instruments / drawing / dancing / participate in other cultural activities,Upper Primary,2023/24,39.1
All students,Read comics,Upper Primary,2023/24,31.9
All students,Play in friends’ and relatives’ home,Upper Primary,2023/24,23.4
All students,Participate in extra-curricular activities (e.g. scouts and guides / society activities),Upper Primary,2023/24,20.3
All students,Go to entertainment venue (e.g. karaoke / bar (or pub)),Upper Primary,2023/24,2.9
All students,Participate in voluntary work,Upper Primary,2023/24,6.2
All students,Participate in church / religious activities,Upper Primary,2023/24,7.3
All students,Go to cyber cafes / electronic games centres,Upper Primary,2023/24,5.2
All students,Others,Upper Primary,2023/24,4
Drug-taking students,Chat with friends,Upper Primary,2023/24,47
Drug-taking students,Play electronic games at home ,Upper Primary,2023/24,45.8
Drug-taking students,Watch movies,Upper Primary,2023/24,32
Drug-taking students,Hang around at home / sleep ,Upper Primary,2023/24,27.4
Drug-taking students,Surf the Internet,Upper Primary,2023/24,26.8
Drug-taking students,Watch TV / listen to the radio or music,Upper Primary,2023/24,42.7
