Drug Usage Group, Whether had the habit of surfing the Internet / Things to do when surfing the Internet,Education Level,Year,Percentage
Non-drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Upper Primary,2023/24,83.3
Non-drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Upper Primary,2023/24,55.3
Non-drug-taking students,Play online games,Upper Primary,2023/24,70
Non-drug-taking students,Do homework on the Internet,Upper Primary,2023/24,47.6
Non-drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Upper Primary,2023/24,25.5
Non-drug-taking students,Browse websites (e.g. read newspaper articles / comics),Upper Primary,2023/24,15.7
Non-drug-taking students,Download photos / songs, etc.,Upper Primary,2023/24,24.3
Non-drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Upper Primary,2023/24,8.6
Non-drug-taking students,Make friends online,Upper Primary,2023/24,11.6
Non-drug-taking students,Others,Upper Primary,2023/24,1.9
All students,No,Secondary,2020/21,1.4
All students,Yes, things to do when surfing the Internet were…,Secondary,2020/21,98.6
All students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Secondary,2020/21,89.2
All students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Secondary,2020/21,72.5
All students,Play online games,Secondary,2020/21,65.2
All students,Do homework on the Internet,Secondary,2020/21,48.1
All students,Find information (e.g. through Wikipedia / map search / route search),Secondary,2020/21,35.2
All students,Browse websites (e.g. read newspaper articles / comics),Secondary,2020/21,33.1
All students,Download photos / songs, etc.,Secondary,2020/21,32.5
All students,Go to discussion forums / chat rooms / message boards, etc.,Secondary,2020/21,18.5
All students,Make friends online,Secondary,2020/21,13.7
All students,Others,Secondary,2020/21,1.7
Drug-taking students,No,Secondary,2020/21,2.8
Drug-taking students,Yes, things to do when surfing the Internet were…,Secondary,2020/21,97.2
Drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Secondary,2020/21,81.6
Drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Secondary,2020/21,60.3
Drug-taking students,Play online games,Secondary,2020/21,59.5
Drug-taking students,Do homework on the Internet,Secondary,2020/21,34.2
Drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Secondary,2020/21,24.7
Drug-taking students,Browse websites (e.g. read newspaper articles / comics),Secondary,2020/21,22.2
Drug-taking students,Download photos / songs, etc.,Secondary,2020/21,27.5
Drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Secondary,2020/21,19.1
Drug-taking students,Make friends online,Secondary,2020/21,22.5
Drug-taking students,Others,Secondary,2020/21,6.3
Non-drug-taking students,No,Secondary,2020/21,1.3
Non-drug-taking students,Yes, things to do when surfing the Internet were…,Secondary,2020/21,98.7
Non-drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Secondary,2020/21,89.4
Non-drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Secondary,2020/21,72.8
Non-drug-taking students,Play online games,Secondary,2020/21,65.3
Non-drug-taking students,Do homework on the Internet,Secondary,2020/21,48.5
Non-drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Secondary,2020/21,35.5
Non-drug-taking students,Browse websites (e.g. read newspaper articles / comics),Secondary,2020/21,33.4
Non-drug-taking students,Download photos / songs, etc.,Secondary,2020/21,32.7
Non-drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Secondary,2020/21,18.5
Non-drug-taking students,Make friends online,Secondary,2020/21,13.5
Non-drug-taking students,Others,Secondary,2020/21,1.6
All students,No,Secondary,2023/24,1.6
All students,Yes, things to do when surfing the Internet were…,Secondary,2023/24,98.4
All students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Secondary,2023/24,81.5
All students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Secondary,2023/24,69.6
All students,Play online games,Secondary,2023/24,66.1
All students,Do homework on the Internet,Secondary,2023/24,38.4
All students,Find information (e.g. through Wikipedia / map search / route search),Secondary,2023/24,32.9
All students,Browse websites (e.g. read newspaper articles / comics),Secondary,2023/24,29.7
All students,Download photos / songs, etc.,Secondary,2023/24,30.5
All students,Go to discussion forums / chat rooms / message boards, etc.,Secondary,2023/24,17.3
All students,Make friends online,Secondary,2023/24,13.6
All students,Others,Secondary,2023/24,1.6
Drug-taking students,No,Secondary,2023/24,3.5
Drug-taking students,Yes, things to do when surfing the Internet were…,Secondary,2023/24,96.5
Drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Secondary,2023/24,73.1
Drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Secondary,2023/24,56.6
Drug-taking students,Play online games,Secondary,2023/24,56.5
Drug-taking students,Do homework on the Internet,Secondary,2023/24,26.7
Drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Secondary,2023/24,18.1
Drug-taking students,Browse websites (e.g. read newspaper articles / comics),Secondary,2023/24,19.2
Drug-taking students,Download photos / songs, etc.,Secondary,2023/24,25.2
Drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Secondary,2023/24,13.9
Drug-taking students,Make friends online,Secondary,2023/24,19.1
Drug-taking students,Others,Secondary,2023/24,5.7
Non-drug-taking students,No,Secondary,2023/24,1.5
Non-drug-taking students,Yes, things to do when surfing the Internet were…,Secondary,2023/24,98.5
Non-drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Secondary,2023/24,81.8
Non-drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Secondary,2023/24,70
Non-drug-taking students,Play online games,Secondary,2023/24,66.3
Non-drug-taking students,Do homework on the Internet,Secondary,2023/24,38.7
Non-drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Secondary,2023/24,33.3
Non-drug-taking students,Browse websites (e.g. read newspaper articles / comics),Secondary,2023/24,30
Non-drug-taking students,Download photos / songs, etc.,Secondary,2023/24,30.7
Non-drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Secondary,2023/24,17.4
Non-drug-taking students,Make friends online,Secondary,2023/24,13.4
Non-drug-taking students,Others,Secondary,2023/24,1.5
All students,No,Post-secondary,2020/21,1.2
All students,Yes, things to do when surfing the Internet were…,Post-secondary,2020/21,98.8
All students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Post-secondary,2020/21,89.2
All students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Post-secondary,2020/21,71.6
All students,Play online games,Post-secondary,2020/21,49.9
All students,Do homework on the Internet,Post-secondary,2020/21,63.4
All students,Find information (e.g. through Wikipedia / map search / route search),Post-secondary,2020/21,54.5
All students,Browse websites (e.g. read newspaper articles / comics),Post-secondary,2020/21,48.4
All students,Download photos / songs, etc.,Post-secondary,2020/21,26.6
All students,Go to discussion forums / chat rooms / message boards, etc.,Post-secondary,2020/21,30.2
All students,Make friends online,Post-secondary,2020/21,11.1
All students,Others,Post-secondary,2020/21,0.2
Drug-taking students,No,Post-secondary,2020/21,2.5
Drug-taking students,Yes, things to do when surfing the Internet were…,Post-secondary,2020/21,97.5
Drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Post-secondary,2020/21,86.7
Drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Post-secondary,2020/21,73.3
Drug-taking students,Play online games,Post-secondary,2020/21,41.7
Drug-taking students,Do homework on the Internet,Post-secondary,2020/21,58.9
Drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Post-secondary,2020/21,51.5
Drug-taking students,Browse websites (e.g. read newspaper articles / comics),Post-secondary,2020/21,48.6
Drug-taking students,Download photos / songs, etc.,Post-secondary,2020/21,25.7
Drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Post-secondary,2020/21,41.4
Drug-taking students,Make friends online,Post-secondary,2020/21,20.4
Drug-taking students,Others,Post-secondary,2020/21,***
Non-drug-taking students,No,Post-secondary,2020/21,1.1
Non-drug-taking students,Yes, things to do when surfing the Internet were…,Post-secondary,2020/21,98.9
Non-drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Post-secondary,2020/21,89.2
Non-drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Post-secondary,2020/21,71.5
Non-drug-taking students,Play online games,Post-secondary,2020/21,50.2
Non-drug-taking students,Do homework on the Internet,Post-secondary,2020/21,63.6
Non-drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Post-secondary,2020/21,54.6
Non-drug-taking students,Browse websites (e.g. read newspaper articles / comics),Post-secondary,2020/21,48.4
Non-drug-taking students,Download photos / songs, etc.,Post-secondary,2020/21,26.7
Non-drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Post-secondary,2020/21,29.8
Non-drug-taking students,Make friends online,Post-secondary,2020/21,10.8
Non-drug-taking students,Others,Post-secondary,2020/21,0.2
All students,No,Post-secondary,2023/24,1.7
All students,Yes, things to do when surfing the Internet were…,Post-secondary,2023/24,98.3
All students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Post-secondary,2023/24,84.3
All students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Post-secondary,2023/24,65.1
All students,Play online games,Post-secondary,2023/24,51.6
All students,Do homework on the Internet,Post-secondary,2023/24,53.6
All students,Find information (e.g. through Wikipedia / map search / route search),Post-secondary,2023/24,55.2
All students,Browse websites (e.g. read newspaper articles / comics),Post-secondary,2023/24,46.3
All students,Download photos / songs, etc.,Post-secondary,2023/24,23.6
All students,Go to discussion forums / chat rooms / message boards, etc.,Post-secondary,2023/24,26.2
All students,Make friends online,Post-secondary,2023/24,11.7
All students,Others,Post-secondary,2023/24,0.6
Drug-taking students,No,Post-secondary,2023/24,0.9
Drug-taking students,Yes, things to do when surfing the Internet were…,Post-secondary,2023/24,99.1
Drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Post-secondary,2023/24,79.8
Drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Post-secondary,2023/24,71
Drug-taking students,Play online games,Post-secondary,2023/24,47
Drug-taking students,Do homework on the Internet,Post-secondary,2023/24,53.9
Drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Post-secondary,2023/24,53.4
Drug-taking students,Browse websites (e.g. read newspaper articles / comics),Post-secondary,2023/24,45.5
Drug-taking students,Download photos / songs, etc.,Post-secondary,2023/24,25.2
Drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Post-secondary,2023/24,34.9
Drug-taking students,Make friends online,Post-secondary,2023/24,20.1
Drug-taking students,Others,Post-secondary,2023/24,3.8
Non-drug-taking students,No,Post-secondary,2023/24,1.7
Non-drug-taking students,Yes, things to do when surfing the Internet were…,Post-secondary,2023/24,98.3
Non-drug-taking students,Watch YouTube / TikTok / Douyin / video clips / TV shows / movies,Post-secondary,2023/24,84.4
Non-drug-taking students,Chat / share with friends (e.g. through email / WhatsApp / WeChat / Line / Telegram / Snapchat / Facebook / Instagram / blog),Post-secondary,2023/24,64.9
Non-drug-taking students,Play online games,Post-secondary,2023/24,51.8
Non-drug-taking students,Do homework on the Internet,Post-secondary,2023/24,53.6
Non-drug-taking students,Find information (e.g. through Wikipedia / map search / route search),Post-secondary,2023/24,55.2
Non-drug-taking students,Browse websites (e.g. read newspaper articles / comics),Post-secondary,2023/24,46.3
Non-drug-taking students,Download photos / songs, etc.,Post-secondary,2023/24,23.5
Non-drug-taking students,Go to discussion forums / chat rooms / message boards, etc.,Post-secondary,2023/24,25.9
Non-drug-taking students,Make friends online,Post-secondary,2023/24,11.4
Non-drug-taking students,Others,Post-secondary,2023/24,0.5
